observed_on,latitude,longitude,scientific_name,common_name,iconic_taxon_name
2025-08-05,13.3769188113,75.7073258981,Anura,Frogs and Toads,Amphibia
2025-08-05,15.8373706,74.5014117,Rhacophorinae,,Amphibia
2025-08-03,12.9755061,77.6898011,Porphyrio poliocephalus,Gray-headed Swamphen,Aves
2025-08-05,14.6003865044,75.4853501916,Duttaphrynus melanostictus,Asian Common Toad,Amphibia
2025-08-01,13.0717227,77.580943,Hemidactylus,House Geckos,Reptilia
2025-08-05,13.0698081105,77.5777583197,Indotyphlops braminus,Brahminy Blindsnake,Reptilia
2025-08-06,14.6003865044,75.8369126916,Ploceus philippinus,Baya Weaver,Aves
2025-08-06,11.9970308875,75.8857488708,Sahyadriophis beddomei,Nilgiri keelback,Reptilia
2025-08-03,12.9715987,77.5945627,Sphaerotheca,Burrowing Frogs,Amphibia
2025-08-03,12.9715987,77.5945627,Dicroglossinae,,Amphibia
2025-08-03,12.9715987,77.5945627,Polypedates maculatus,Chunam Tree Frog,Amphibia
2025-08-06,12.846445,77.7763366667,Ptyonoprogne concolor,Dusky Crag-Martin,Aves
2025-08-06,12.84642,77.776345,Ptyonoprogne concolor,Dusky Crag-Martin,Aves
2025-08-06,12.8225171671,77.7294704318,Minervarya agricola,Common Paddy Field Frog,Amphibia
2025-08-03,12.9755061,77.6898011,Egretta garzetta,Little Egret,Aves
2025-08-03,12.9755061,77.6898011,Rostratula benghalensis,Greater Painted-Snipe,Aves
2025-08-06,12.8462966667,77.7779533333,Hemidactylus parvimaculatus,Spotted House Gecko,Reptilia
2025-08-03,12.7734439722,77.6179779722,Hemidactylus whitakeri,Whitaker’s Termite Hill Gecko,Reptilia
2025-08-05,13.0275070506,77.7070236951,Calotes versicolor,Indian Garden Lizard,Reptilia
2025-08-05,13.1348123496,78.138266243,Psammophilus dorsalis,Rock Dragon,Reptilia
2025-08-06,12.9709333333,77.6082166667,Duttaphrynus melanostictus,Asian Common Toad,Amphibia
2025-08-06,15.852575,74.570675,Centropus sinensis,Greater Coucal,Aves
2025-08-07,12.914386,77.6863634,Eutropis carinata,Keeled Indian Mabuya,Reptilia
2025-08-06,13.1409611667,77.4908966667,Pycnonotus cafer,Red-vented Bulbul,Aves
2025-08-06,13.1409611667,77.4908966667,Prinia socialis,Ashy Prinia,Aves
2025-08-06,13.1409611667,77.4908966667,Prinia socialis,Ashy Prinia,Aves
2025-08-06,13.1409611667,77.4908966667,Prinia socialis,Ashy Prinia,Aves
2025-08-06,13.1400805,77.4912383333,Corvus splendens,House Crow,Aves
2025-08-06,13.1400805,77.4912383333,Acridotheres fuscus,Jungle Myna,Aves
2025-08-06,13.1402695,77.4914466667,Milvus migrans,Black Kite,Aves
2025-08-06,13.1411221667,77.4915083333,Phalacrocorax carbo,Great Cormorant,Aves
2025-08-06,13.1411221667,77.4915083333,Tachybaptus ruficollis,Little Grebe,Aves
2025-08-06,13.1419666667,77.4914583333,Haliastur indus,Brahminy Kite,Aves
2025-08-06,13.1419666667,77.4914583333,Dendrocygna javanica,Lesser Whistling-Duck,Aves
2025-08-06,13.1419666667,77.4914583333,Egretta garzetta,Little Egret,Aves
2025-08-06,13.1414138333,77.4910616667,Lonchura malacca,Tricolored Munia,Aves
2025-08-06,13.1414138333,77.4910616667,Lonchura malacca,Tricolored Munia,Aves
2025-08-06,13.1414138333,77.4910616667,Anthus rufulus,Paddyfield Pipit,Aves
2025-08-06,13.1414138333,77.4910616667,Lonchura punctulata,Scaly-breasted Munia,Aves
2025-08-06,13.1413221667,77.49102,Anthus rufulus,Paddyfield Pipit,Aves
2025-08-06,13.1413221667,77.49102,Cecropis daurica,Eastern Red-rumped Swallow,Aves
2025-08-06,13.1411721667,77.4906633333,Haliastur indus,Brahminy Kite,Aves
2025-08-06,13.142725,77.4873866667,Passer domesticus,House Sparrow,Aves
2025-08-06,13.142725,77.4873866667,Calotes versicolor,Indian Garden Lizard,Reptilia
2025-08-06,13.142725,77.4873866667,Calotes versicolor,Indian Garden Lizard,Reptilia
2025-08-06,13.142725,77.4873866667,Passer domesticus,House Sparrow,Aves
2025-08-06,13.142725,77.4873866667,Passer domesticus,House Sparrow,Aves
2025-08-06,13.142725,77.4873866667,Columba livia,Rock Pigeon,Aves
2025-08-06,13.3230366667,77.3944783333,Macaca radiata,Bonnet Macaque,Mammalia
2025-08-07,12.8687231997,77.6148735997,Psammophilus dorsalis,Rock Dragon,Reptilia
2025-08-07,12.9143611111,77.6871638889,Naja naja,Indian Cobra,Reptilia
2025-08-02,13.5163119113,75.0881826756,Ahaetulla farnsworthi,Farnsworth's Vine Snake,Reptilia
2025-08-07,12.8465033333,77.7763133333,Artamus fuscus,Ashy Woodswallow,Aves
2025-08-01,14.6087940541,75.6463149712,Vulpes bengalensis,Indian Fox,Mammalia
2025-08-04,14.8056054893,75.3928638621,Gallus gallus domesticus,Domestic Chicken,Aves
2025-08-04,14.8055944447,75.392879458,Gallus gallus domesticus,Domestic Chicken,Aves
2025-08-01,12.8941837304,77.658608146,Spilopelia chinensis,Spotted Dove,Aves
2025-08-08,13.0651444444,77.64755,Milvus migrans,Black Kite,Aves
2025-08-03,12.9746594443,77.6891340315,Anhinga melanogaster,Oriental Darter,Aves
2025-08-03,12.9746594443,77.6891340315,Ardeola grayii,Indian Pond-Heron,Aves
2025-08-03,12.9746594443,77.6891340315,Amaurornis phoenicurus,White-breasted Waterhen,Aves
2025-08-03,12.9746594443,77.6891340315,Copsychus saularis,Oriental Magpie-Robin,Aves
2025-08-03,12.9746594443,77.6891340315,Corvus macrorhynchos,Large-billed Crow,Aves
2025-08-03,12.9746594443,77.6891340315,Porphyrio poliocephalus,Gray-headed Swamphen,Aves
2025-08-03,12.9746594443,77.6891340315,Dicrurus macrocercus,Black Drongo,Aves
2025-08-03,12.9484276399,77.7392930165,Phoenicopterus roseus,Greater Flamingo,Aves
2025-08-03,12.9746594443,77.6891340315,Milvus migrans,Black Kite,Aves
2025-08-03,12.9746594443,77.6891340315,Ardea purpurea,Purple Heron,Aves
2025-08-03,12.9746594443,77.6891340315,Porphyrio poliocephalus,Gray-headed Swamphen,Aves
2025-08-03,12.9746594443,77.6891340315,Microcarbo niger,Little Cormorant,Aves
2025-08-03,12.9746594443,77.6891340315,Ardeola grayii,Indian Pond-Heron,Aves
2025-08-03,12.9746594443,77.6891340315,Egretta garzetta,Little Egret,Aves
2025-08-08,13.2088422778,77.5133971944,Amphiesma stolatum,Buff Striped Keelback,Reptilia
2025-08-08,13.20902,77.5132216667,Amphiesma stolatum,Buff Striped Keelback,Reptilia
2025-08-08,13.7354889134,75.6298492849,Oligodon taeniolatus,Streaked Kukri Snake,Reptilia
2025-08-08,12.9718616667,77.6623216667,Leptocoma zeylonica,Purple-rumped Sunbird,Aves
2025-08-08,13.7257755,75.9982352,Acridotheres tristis,Common Myna,Aves
2025-08-08,12.7746460422,77.6120835543,Pericrocotus cinnamomeus,Small Minivet,Aves
2025-08-08,12.8464783333,77.777555,Psammophilus dorsalis,Rock Dragon,Reptilia
2025-08-03,12.8963666667,77.5864777778,Funambulus palmarum,Three-striped Palm Squirrel,Mammalia
2025-08-08,12.3775639722,76.6619989722,Hemidactylus parvimaculatus,Spotted House Gecko,Reptilia
2025-08-08,11.9969833333,75.8862616667,Hoplobatrachus tigerinus,Indus Valley Bullfrog,Amphibia
2025-08-08,12.9441507623,75.7865650579,Calliophis nigrescens,Black Coralsnake,Reptilia
2025-08-08,13.0702915,77.7695255,Prinia inornata,Plain Prinia,Aves
2025-08-09,13.0688805556,77.5780583333,Psammophilus dorsalis,Rock Dragon,Reptilia
2025-08-02,12.950164641,77.7409160882,Phoenicopterus roseus,Greater Flamingo,Aves
2025-08-09,14.6905070892,75.5405106875,Microhyla,Rice Frogs,Amphibia
2025-08-09,13.0390694206,77.6371238836,Euodice malabarica,Indian Silverbill,Aves
2025-08-09,12.8539211678,77.6952175199,Psammophilus dorsalis,Rock Dragon,Reptilia
